answer,assessment_stage,audio_file,block_index,chance_level,corpus_file_name,d,difficulty,image,item,item_id,item_uid,orig_item_num,prompt,randomize,required_selections,response_alternatives,source,task,task_dir,task_id,time_limit,trial_num,trial_type
214,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,-0.2,,"0,1000",math_slider_214_1000,math_slider_214_1000,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
tf3_41_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_41_M_ss2,tf3_41_M_ss2,matrix_set3_md_mat41,41,Choose the best pattern to fill in the blank.,,,"tf3_41_T2_ss2_md,tf3_41_T4_ss2_md,tf3_41_T3_ss2_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,instructions,math-instructions1,0,,math-corpus-retest,,,,,math-instructions1,,,We are going to play some counting games and some number games. Are you ready?,,,,EGMA,math,levante-math-dev,egma-math,,,instructions
4,test_response,subtraction-prompt2,1,0.25,math-corpus-retest,,-1.4,,10-6,math_subtract_10_6,math_subtract_10_6,,Subtract the numbers.,,,"3,2,5",Zehra,math,levante-math-dev,egma-math,5000,,Subtraction
furry,test_response,vocab-item-117,1,0.25,vocab-item-bank,-2.5384,,,furry,furry,vocab_word_furry,,,,,"hairy,fluffy,silky",manual,vocab,levante-vocabulary-dev,vocab,,,test
med-yellow-star,test_response,same-different-selection-touch-star,0,0.25,same-different-selection-item-bank,,-4.9103763,,Choose the card with a star.,sds-dim-test-touch-star,sds_dimensions_shape,,,,1,"med-yellow-square,med-yellow-circle,med-yellow-triangle",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,4,test-dimensions
,second_response,sds-2match-prompt2,2,0.75,same-different-selection-item-bank,,-0.6553883,,Touch two cards that are the same in a different way.,sds-fist3-1-second,sds_2match_choice2,,,,2,"sm-red-circle,sm-blue-triangle,lg-yellow-triangle",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,1,2-match
67,test_response,number-comparison-prompt2,0,0.5,math-item-bank,,-2.5,,"65, 67",num-comp-67,math_compare_65_67,27,Which is larger?,,,65,EGMA,math,levante-math-dev,egma-math,5000,,Number Comparison
bn6-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,4.96642463,,bn6-280,bn6-280,,99,Choose the matching picture.,,,"bn6-000,bp6-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
tf1_52_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,,,tf1_52_M_ss3,tf1_52_M_ss3,matrix_set1_md_mat52,52,Choose the best pattern to fill in the blank.,,,"tf1_52_T4_ss3_md,tf1_52_T2_ss3_md,tf1_52_T3_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
wetland,test_response,vocab-item-133,1,0.25,vocab-item-bank,-1.2814,,,wetland,wetland,vocab_word_wetland,,,,,"field,dune,meadow",dutch,vocab,levante-vocabulary-dev,vocab,,,test
tf1_17_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,,,1.22,,tf1_17_M_ss1,tf1_17_M_ss1,,17,Choose the best pattern to fill in the blank.,,,"tf1_17_T3_ss1_md,tf1_17_T4_ss1_md,tf1_17_T2_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
calm,test_response,ToM-scene2-q7-emotion_reasoning,2,0.25,CO-theory-of-mind-retest-A,,,,2g,ToM-scene2-q7-emotion_reasoning,tom_moral_reasoning_emotion_reasoning_2,,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,yes,,"happy,angry,scared",ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,emotion_reasoning_question
tf3_75_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_75_M_ss3,tf3_75_M_ss3,matrix_set3_md_mat75,75,Choose the best pattern to fill in the blank.,,,"tf3_75_T3_ss3_md,tf3_75_T4_ss3_md,tf3_75_T2_ss3_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
3/4,test_response,addition-prompt2,1,0.25,math-corpus-retest,,0.5,,1/2+1/4,math_fraction_12_14,math_fraction_12_14_34,,Add the numbers.,,,"2/6,1/6,3/8",Zehra,math,levante-math-dev,egma-math,5000,,Fraction
8,test_response,addition-prompt2,3,0.25,math-item-bank,,2.616851,,6+2,6+2,math_add_6_2,47,Add the numbers.,,,"9,7,12",EGMA,math,levante-math-dev,egma-math,5000,,Addition
540,test_response,multiplication-prompt2,1,0.25,math-corpus-retest,,0.2,,54x10,math_multiply_54_10,math_multiply_54_10,,Multiply the numbers.,,,"520,104,580",Zehra,math,levante-math-dev,egma-math,5000,,Multiplication
4,test_response,subtraction-prompt2,1,0.25,math-corpus-retest,,-0.9,,18-14,math_subtract_18_14,math_subtract_18_14,,Subtract the numbers.,,,"6,5,3",Zehra,math,levante-math-dev,egma-math,5000,,Subtraction
,instructions,hostile-attribution-scene1-instruct2,0,,hostile-attribution-item-bank,,,,hostile-attribution-1b,hostile-attribution-scene1-instruct2,,54,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.",no,,,ToM-battery,hostile-attribution,,hostile-attribution,,,instructions
P1p-000-silh,practice_response,mental-rotation-prompt2,2,0.5,mental-rotation-item-bank,,,,P1p-000,P1p-000,,,Choose the matching picture.,,,"P1p-000-silh,P1n-000-silh",2d-polygon1,Mental Rotation,levante-shape-rotation-dev,mental-rotation,,,
tf3_30_T1_ss3_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_30_M_ss3,tf3_30_M_ss3,matrix_set3_pd_mat30,30,Choose the best pattern to fill in the blank.,,,"tf3_30_T2_ss3_md,tf3_30_T4_ss3_md,tf3_30_T3_ss3_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
12,practice_response,number-comparison-prompt1,0,0.5,math-item-bank,,,,"10, 12",num-comp-12,,22,Which number is larger?,,,10,EGMA,math,levante-math-dev,egma-math,5000,,Number Comparison
tf3_57_T1_ss3_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_57_M_ss3,tf3_57_M_ss3,matrix_set3_pd_mat57,57,Choose the best pattern to fill in the blank.,,,"tf3_57_T4_ss3_md,tf3_57_T2_ss3_md,tf3_57_T3_ss3_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
foam,test_response,vocab-item-027,1,0.25,vocab-item-bank,-2.4014,,,foam,foam,vocab_word_foam,,,,,"float,quilt,asparagus",clip,vocab,levante-vocabulary-dev,vocab,,,test
,instructions,math-intro2,1,,math-item-bank,,,,,math-intro2,,,Here is another section. The first few are for practice.,,,,Amy,math,levante-math-dev,egma-math,,,instructions
,instructions,same-different-selection-instruct2-heavy,1,,same-different-selection-item-bank,,-1,,Now we're going to look at more pictures and find things about them that are the same. Let's learn how to play!,sds-instruct2-heavy,,,,,0,,Zach/Kat,same-different-selection,levante-same-different-dev,same-different-selection,,2,instructions
,instructions,hostile-attribution-scene3-instruct1,2,,hostile-attribution-item-bank,,,,hostile-attribution-3a,hostile-attribution-scene3-instruct1,,61,Imagine that you are working on an assignment at your desk.,no,,,ToM-battery,hostile-attribution,,hostile-attribution,,,instructions
,second_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,-1.4383118,,Touch two pictures that are the same in a different way.,sds-fist4-4-second,sds_3match_choice2,,,,2,"med-green-square-2-striped,med-red-triangle-2,med-green-star-3-black,med-blue-circle-4",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,4,3-match
24,test_response,multiplication-prompt2,1,0.25,math-item-bank,,0.1,,4x6,4x6,math_multiply_4_6,,Multiply the numbers.,,,"22,32,12",George,math,levante-math-dev,egma-math,5000,,Multiplication
green-circle,practice_response,"sds-your-turn,matrix-reasoning-prompt1-part1-downex,matrix-reasoning-prompt1-part2-downex",0,0.25,,,,,downex_item_2,downex_item_2,,,Now it's your turn. Look carefully at this. Which one fits?,,,"blue-star,black-square,orange-triangle",LEVANTE,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,practice
11,test_response,subtraction-prompt2,1,0.25,math-corpus-retest,,-1.4,,14-3,math_subtract_14_3,math_subtract_14_3,,Subtract the numbers.,,,"9,12,10",Zehra,math,levante-math-dev,egma-math,5000,,Subtraction
tf1_34_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,1.043,,tf1_34_M_ss3,tf1_34_M_ss3,matrix_set1_md_mat34,34,Choose the best pattern to fill in the blank.,,,"tf1_34_T2_ss3_md,tf1_34_T4_ss3_md,tf1_34_T3_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
9,test_response,subtraction-prompt2,1,0.25,math-corpus-retest,,-1.4,,15-6,math_subtract_15_6,math_subtract_15_6,,Subtract the numbers.,,,"11,7,8",Zehra,math,levante-math-dev,egma-math,5000,,Subtraction
,instructions,ToM-transition,10,,theory-of-mind-retest-A,,,,,ToM-transition,,,Nice work! Here is a new story.,no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
12,test_response,addition-prompt2,1,0.25,math-item-bank,,-1.5,,7+5,7+5,math_add_7_5,57,Add the numbers.,,,"14,13,11",EGMA,math,levante-math-dev,egma-math,5000,,Addition
20,test_response,missing-number-prompt2,5,0.25,adult-reasoning-item-bank,1.954,,,"60, 33, 24, 21, _",MD215-O2,ar_reason_60_33_24_21_x,15,What number goes here?,,,"12,17,18",HRS2010,adult-reasoning,levante-math-dev,adult-reasoning,,,Missing Number
tf3_13_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_13_M_ss1,tf3_13_M_ss1,matrix_set3_md_mat13,13,Choose the best pattern to fill in the blank.,,,"tf3_13_T3_ss1_md,tf3_13_T4_ss1_md,tf3_13_T2_ss1_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
30,test_response,number-line-prompt1,0,0.25,math-item-bank,,-0.5,,"0,100",line2num-30-100,math_line_30_100,,Choose the number that is marked on the number line.,,,"50,15,45",Siegler,math,levante-math-dev,egma-math,5000,,Number Line 4afc
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,1.225034777,,Rp-160,Rp-160,mrot_2d_rabbit_160,12,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
tf1_50_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,,,0.713,,tf1_50_M_ss1,tf1_50_M_ss1,,50,Choose the best pattern to fill in the blank.,,,"tf1_50_T4_ss1_md,tf1_50_T2_ss1_md,tf1_50_T3_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf1_71_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,0.785,,tf1_71_M_ss1,tf1_71_M_ss1,matrix_set1_md_mat71,71,Choose the best pattern to fill in the blank.,,,"tf1_71_T3_ss1_md,tf1_71_T2_ss1_md,tf1_71_T4_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
barrel,test_response,vocab-item-006,1,0.25,vocab-item-bank,-3.036,,,barrel,barrel,vocab_word_barrel,,,,,"bucket,shelf,anteater",clip,vocab,levante-vocabulary-dev,vocab,,,test
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,2.76733774,,Rp-200,Rp-200,,14,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
7,test_response,number-comparison-prompt2,0,0.5,math-item-bank,,-2.5,,"7, 5",num-comp-7,math_compare_7_5,23,Which is larger?,,,5,EGMA,math,levante-math-dev,egma-math,5000,,Number Comparison
10,test_response,missing-number-prompt2,2,0.25,adult-reasoning-item-bank,-0.189,,,"8, _, 12, 14",MD207-D1,ar_reason_8_x_12_14,4,What number goes here?,,,"6,11,16",HRS2010,adult-reasoning,levante-math-dev,adult-reasoning,,,Missing Number
,instructions,ToM-scene-10-instruct4,10,,CO-theory-of-mind-retest-A,,,,10d,ToM-scene-10-instruct4,,,"Megan is sad that she doesn’t have a storybook, and asks Teacher Sarah, ""is there an extra storybook for me?"" Teacher Sarah says, “I’m so sorry Megan, but there are no storybooks left, they are all being used right now.”",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
ap17-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,5.42543641,,ap17-240,ap17-240,,93,Choose the matching picture.,,,"an17-000,ap17-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
P1p-000-silh,test_response,mental-rotation-prompt1,2,0.5,mental-rotation-item-bank,,3.75,,P1p-240,P1p-240,,,Choose the matching picture.,,,"P1p-000-silh,P1n-000-silh",2d-polygon1,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,
10,test_response,addition-prompt2,1,0.25,math-corpus-retest,,-1.5,,6+4,math_add_6_4,math_add_6_4,,Add the numbers.,,,"9,11,8",Zehra,math,levante-math-dev,egma-math,5000,,Addition
,instructions,ToM-transition,18,,theory-of-mind-retest-B,,,,,ToM-transition,,,Nice work! Here is a new story.,no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
thermos,test_response,vocab-item-077,1,0.25,vocab-item-bank,-0.4268,,,thermos,thermos,vocab_word_thermos,,,,,"firewood,oilcan,coral",clip,vocab,levante-vocabulary-dev,vocab,,,test
11,test_response,addition-prompt2,1,0.25,math-item-bank,,-1.5,,4+7,4+7,math_add_4_7,56,Add the numbers.,,,"12,13,10",EGMA,math,levante-math-dev,egma-math,5000,,Addition
,instructions,ToM-scene-17-instruct2,17,,CO-theory-of-mind-retest-B,,,,17b,ToM-scene-17-instruct2,,,"Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
tf1_65_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,,,-0.367,,tf1_65_M_ss1,tf1_65_M_ss1,,65,Choose the best pattern to fill in the blank.,,,"tf1_65_T3_ss1_md,tf1_65_T2_ss1_md,tf1_65_T4_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,first_response,sds-2match-prompt1,2,,same-different-selection-item-bank,,-3.4771184,,Touch two pictures that are the same.,sds-fist4-3-first,sds_3match_choice1,,,,2,"med-red-star,med-blue-square-striped,med-blue-circle-4-gray,med-green-circle-2-black",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,3,3-match
tf1_36_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,-0.394,,tf1_36_M_ss2,tf1_36_M_ss2,matrix_set1_md_mat36,36,Choose the best pattern to fill in the blank.,,,"tf1_36_T4_ss2_md,tf1_36_T2_ss2_md,tf1_36_T3_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
6,test_response,missing-number-prompt2,4,0.25,adult-reasoning-item-bank,0.427,,,"10, _, 3, 1",MD210-J1,ar_reason_10_x_3_1,10,What number goes here?,,,"7,4,5",HRS2010,adult-reasoning,levante-math-dev,adult-reasoning,,,Missing Number
tf3_29_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_29_M_ss2,tf3_29_M_ss2,matrix_set3_md_mat29,29,Choose the best pattern to fill in the blank.,,,"tf3_29_T4_ss2_md,tf3_29_T2_ss2_md,tf3_29_T3_ss2_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
no,test_response,ToM-scene6-q4,6,0.5,theory-of-mind-item-bank,,,,6d_new2,ToM-scene6-q4,tom_second_order_false_belief_3,49,What does Maria tell dad?,no,,yes,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,false_belief_question
37,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,-0.5,,"0,100",math_slider_37_100,math_slider_37_100,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
417,test_response,number-line-slider-prompt1,2,0.1,math-item-bank,,-0.2,,"0,1000",slider-417-1000,math_slider_417_1000,,Move the slider to the indicated number.,,,,Siegler,math,levante-math-dev,egma-math,5000,,Number Line Slider
tf3_17_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_17_M_ss2,tf3_17_M_ss2,matrix_set3_md_mat17,17,Choose the best pattern to fill in the blank.,,,"tf3_17_T3_ss2_md,tf3_17_T4_ss2_md,tf3_17_T2_ss2_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf3_59_T1_ss2_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_59_M_ss2,tf3_59_M_ss2,matrix_set3_pd_mat59,59,Choose the best pattern to fill in the blank.,,,"tf3_59_T4_ss2_md,tf3_59_T2_ss2_md,tf3_59_T3_ss2_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
65-bird-blue-flower-blue,test_response,trog-item-65,,0.25,trog-item-bank,-1.238294058,,,not only the bird but also the flower is blue,trog-item-65,trog_notonly_notonly_bird_flower_blue,65,Touch the picture that shows...,,,"65-bird-blue-flower-white,65-bird-white-flower-blue,65-bird-white-flower-white",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,not only X but also Y
tf1_41_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,1.043,,tf1_41_M_ss1,tf1_41_M_ss1,matrix_set1_md_mat41,41,Choose the best pattern to fill in the blank.,,,"tf1_41_T2_ss1_md,tf1_41_T4_ss1_md,tf1_41_T3_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,,,,,,,,,Are the kids in your class nice to you?,,,14,ClassNice,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
30,test_response,number-line-slider-prompt1,2,0.1,math-item-bank,,-0.5,,"0,100",slider-30-100,math_slider_30_100,,Move the slider to the indicated number.,,,,Siegler,math,levante-math-dev,egma-math,5000,,Number Line Slider
tf1_42_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,0.558,,tf1_42_M_ss2,tf1_42_M_ss2,matrix_set1_md_mat42,42,Choose the best pattern to fill in the blank.,,,"tf1_42_T2_ss2_md,tf1_42_T4_ss2_md,tf1_42_T3_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf3_36_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_36_M_ss3,tf3_36_M_ss3,matrix_set3_md_mat36,36,Choose the best pattern to fill in the blank.,,,"tf3_36_T2_ss3_md,tf3_36_T4_ss3_md,tf3_36_T3_ss3_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf1_80_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,,,1.334,,tf1_80_M_ss1,tf1_80_M_ss1,,80,Choose the best pattern to fill in the blank.,,,"tf1_80_T3_ss1_md,tf1_80_T2_ss1_md,tf1_80_T4_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
