identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,pt-PT
trog-item-38,"trog, Sentence Understanding",the boy stands on the chairs,el niño se para encima de las sillas,der Junge steht auf den Stühlen,,,,,,o menino está em pé nas cadeiras
trog-item-39,"trog, Sentence Understanding",the boys pick the apples,los niños recogen las manzanas,die Jungen pflücken die Äpfel,,,,,,os meninos colhem as maçãs
trog-item-40,"trog, Sentence Understanding",the girl drops the cups,la niña deja caer las tazas,das Mädchen lässt die Tassen fallen,,,,,,a menina deixa cair as xícaras
trog-item-41,"trog, Sentence Understanding",the fork is longer than the pencil,el tenedor es más largo que el lápiz,die Gabel ist länger als der Bleistift,,,,,,o garfo é mais longo que o lápis
trog-item-42,"trog, Sentence Understanding",the box is bigger than the cup,la caja es más grande que la taza,die Schachtel ist größer als die Tasse,,,,,,a caixa é maior que a xícara
trog-item-43,"trog, Sentence Understanding",the shoe is bigger than the bird,el zapato es más grande que el pájaro,der Schuh ist größer als der Vogel,,,,,,o sapato é maior que o pássaro
trog-item-44,"trog, Sentence Understanding",the horse is taller than the wall,el caballo es más alto que la pared,das Pferd ist größer als die Mauer,,,,,,o cavalo é mais alto que a parede
trog-item-45,"trog, Sentence Understanding",the girl is chased by the horse,la niña es perseguida por el caballo,das Mädchen wird vom Pferd gejagt,,,,,,a menina é perseguida pelo cavalo
trog-item-46,"trog, Sentence Understanding",the elephant is pushed by the boy,el elefante es empujado por el niño,der Elefant wird von dem Jungen geschoben,,,,,,o elefante é empurrado pelo menino
trog-item-47,"trog, Sentence Understanding",the horse is chased by the man,el caballo es perseguido por el hombre,das Pferd wird von dem Mann gejagt,,,,,,o cavalo é perseguido pelo homem
trog-item-48,"trog, Sentence Understanding",the cow is pushed by the man,la vaca es empujada por el hombre,die Kuh wird von dem Mann geschoben,,,,,,a vaca é empurrada pelo homem
trog-item-49,"trog, Sentence Understanding",the cup is in the box,la taza está en la caja,die Tasse ist in der Schachtel,,,,,,a xícara está dentro da caixa
trog-item-50,"trog, Sentence Understanding",the pencil is on the box,el lápiz está encima de la caja,der Bleistift ist auf der Schachtel,,,,,,o lápis está em cima da caixa
trog-item-51,"trog, Sentence Understanding",the circle is in the star,el círculo está en la estrella,der Kreis ist im Stern,,,,,,o círculo está dentro da estrela
trog-item-52,"trog, Sentence Understanding",the fork is on the shoe,el tenedor está encima del zapato,die Gabel ist auf dem Schuh,,,,,,o garfo está em cima do sapato
trog-item-53,"trog, Sentence Understanding",the boy chasing the horse is tall,el niño que persigue al caballo es alto,"der Junge, der das Pferd jagt, ist groß",,,,,,o menino que persegue o cavalo é alto
trog-item-54,"trog, Sentence Understanding",the pencil on the shoe is blue,el lápiz que está encima del zapato es azul,der Bleistift auf dem Schuh ist blau,,,,,,o lápis em cima do sapato é azul
trog-item-55,"trog, Sentence Understanding",the cow chasing the cat is brown,la vaca que persigue al gato es café,"die Kuh, die die Katze jagt, ist braun",,,,,,a vaca que persegue o gato é marrom
trog-item-56,"trog, Sentence Understanding",the circle in the star is yellow,el círculo en la estrella es amarillo,der Kreis im Stern ist gelb,,,,,,o círculo na estrela é amarelo
trog-item-57,"trog, Sentence Understanding",the box but not the chair is red,la caja es roja pero la silla no,"die Schachtel, aber nicht der Stuhl ist rot",,,,,,"a caixa, mas não a cadeira, é vermelha"
trog-item-58,"trog, Sentence Understanding",the cat is big but not black,el gato es grande pero no es negro,"die Katze ist groß, aber nicht schwarz",,,,,,"o gato é grande, mas não é preto"
trog-item-59,"trog, Sentence Understanding",the horse but not the boy is standing,el caballo está parado pero el niño no,"das Pferd, aber nicht der Junge, steht",,,,,,"o cavalo, mas não o menino, está em pé"
trog-item-60,"trog, Sentence Understanding",the boy is sitting but not eating,"el niño está sentado, pero no está comiendo","der Junge sitzt, aber er isst nichts",,,,,,"o menino está sentado, mas não está comendo"
trog-item-61,"trog, Sentence Understanding",the pencil is above the flower,el lápiz está arriba de la flor,der Bleistift ist über der Blume,,,,,,o lápis está acima da flor
trog-item-62,"trog, Sentence Understanding",the comb is below the spoon,el peine está debajo de la cuchara,der Kamm ist unter dem Löffel,,,,,,o pente está abaixo da colher
trog-item-63,"trog, Sentence Understanding",the star is above the circle,la estrella está arriba del círculo,der Stern ist über dem Kreis,,,,,,a estrela está acima do círculo
trog-item-64,"trog, Sentence Understanding",the square is below the star,el cuadrado está debajo de la estrella,das Quadrat ist unter dem Stern,,,,,,o quadrado está abaixo da estrela
trog-item-65,"trog, Sentence Understanding",not only the bird but also the flower is blue,"no sólo el pájaro, también la flor es azul.","nicht nur der Vogel, sondern auch die Blume ist blau",,,,,,"não apenas o pássaro, mas também a flor é azul"
trog-item-66,"trog, Sentence Understanding",the box is not only big but also blue,"la caja no sólo es grande, sino también azul","die Box ist nicht nur groß, sondern auch blau",,,,,,"a caixa não é só grande, mas também azul"
trog-item-67,"trog, Sentence Understanding",not only the girl but also the cat is sitting,"no sólo la niña, también el gato está sentado.","nicht nur das Mädchen, sondern auch die Katze sitzt",,,,,,"não só a menina, mas também o gato está sentado"
trog-item-68,"trog, Sentence Understanding",the girl has not only food but also a drink,"la niña no solo tiene comida, sino también bebida","das Mädchen hat nicht nur Essen, sondern auch ein Getränk",,,,,,"a menina não tem só comida, mas também uma bebida"
trog-item-69,"trog, Sentence Understanding",the pencil is on the book that is yellow,el lápiz está encima del libro que es amarillo,"der Bleistift ist auf dem Buch, das gelb ist",,,,,,o lápis está sobre o livro que é amarelo
trog-item-70,"trog, Sentence Understanding",the girl chases the dog that is big,la niña persigue al perro que es grande,"das Mädchen jagt den Hund, der groß ist",,,,,,a menina persegue o cachorro que é grande
trog-item-71,"trog, Sentence Understanding",the square is in the star that is blue,el cuadrado está en la estrella que es azul,"das Quadrat ist in dem Stern, der blau ist",,,,,,o quadrado está na estrela que é azul
trog-item-72,"trog, Sentence Understanding",the dog chases the horse that is brown,el perro persigue al caballo que es café,"der Hund jagt das Pferd, das braun ist",,,,,,o cachorro persegue o cavalo que é marrom
trog-item-73,"trog, Sentence Understanding",neither the dog nor the ball is brown,ni el perro ni la pelota son cafés,weder der Hund noch der Ball sind braun,,,,,,nem o cachorro nem a bola são marrons
trog-item-74,"trog, Sentence Understanding",the pencil is neither long nor red,el lápiz no es largo ni rojo,der Bleistift ist weder lang noch rot,,,,,,o lápis não é longo nem vermelho
trog-item-75,"trog, Sentence Understanding",neither the boy nor the horse is running,ni el niño ni el caballo están corriendo,weder der Junge noch das Pferd rennt,,,,,,nem o menino nem o cavalo estão correndo
trog-item-76,"trog, Sentence Understanding",the boy has neither hat nor shoes,el niño no tiene ni sombrero ni zapatos,der Junge hat weder Hut noch Schuhe,,,,,,o menino não tem chapéu nem sapatos
trog-item-77,"trog, Sentence Understanding",the book the pencil is on is red,el libro encima del que está el lápiz es rojo,"das Buch, auf dem der Bleistift liegt, ist rot",,,,,,o livro em que o lápis está é vermelho
trog-item-78,"trog, Sentence Understanding",the cat the cow chases is black,el gato que la vaca persigue es negro,"die Katze, die die Kuh jagt, ist schwarz",,,,,,o gato que a vaca persegue é preto
trog-item-79,"trog, Sentence Understanding",the circle the star is in is red,"el círculo, en el que está la estrella, es rojo","der Kreis, in dem sich der Stern befindet, ist rot",,,,,,o círculo em que a estrela está é vermelho
trog-item-80,"trog, Sentence Understanding",the boy the dog chases is big,el niño que el perro persigue es grande,"der Junge, den der Hund jagt, ist groß",,,,,,o menino que o cachorro persegue é grande
trog-item-81,"trog, Sentence Understanding",the horse drank water by the barn and the sheep ate grass by the fence,"el caballo bebía agua junto al granero, y la oveja comía pasto junto a la cerca",Das Pferd trank Wasser bei der Scheune und das Schaf fraß Gras am Zaun.,,,,,,o cavalo bebeu água no celeiro e a ovelha comeu grama na cerca
trog-item-82,"trog, Sentence Understanding",the student opened the notebook and drew a tree,el estudiante abrió el cuaderno y dibujó un árbol,der Schüler öffnete das Heft und zeichnete einen Baum,,,,,,o estudante abriu o caderno e desenhou uma árvore
trog-item-83,"trog, Sentence Understanding",we will have a picnic in the park if it is sunny,haremos un picnic en el parque si hace sol,"Wenn es sonnig ist, werden wir im Park ein Picknick machen.",,,,,,faremos um piquenique no parque se estiver ensolarado
trog-item-84,"trog, Sentence Understanding",he found his keys under the couch with the pillows,encontró sus llaves debajo del sofá con cojines,er fand seine Schlüssel unter der Couch mit den Kissen,,,,,,ele encontrou suas chaves debaixo do sofá com as almofadas
trog-item-85,"trog, Sentence Understanding",she is the gardener who wears the hat that has a flower,ella es la jardinera que usa un sombrero que tiene una flor,"sie ist die Gärtnerin, die den Hut mit einer Blume trägt",,,,,,ela é a jardineira que usa o chapéu com uma flor
trog-item-86,"trog, Sentence Understanding",She tripped on a rock and dropped her books.,Ella tropezó con una piedra y dejo caer sus libros.,Sie stolperte über einen Stein und ließ ihre Bücher fallen.,,,,,,ela tropeçou em uma pedra e deixou seus livros caírem
trog-item-87,"trog, Sentence Understanding",The teacher will give the students cake if they stand in a line.,"La maestra va a darles pastel a los estudiantes, si se forman en fila.","Die Lehrerin gibt den Schülern Kuchen, wenn sie in einer Reihe stehen.",,,,,,o professor dará bolo aos alunos se eles ficarem em fila
trog-item-88,"trog, Sentence Understanding",We will dance together if there is music playing.,Bailaremos juntos si hay música sonando.,"Wir tanzen zusammen, wenn Musik läuft.",,,,,,dançaremos juntos se houver música tocando
trog-item-89,"trog, Sentence Understanding","Although it is hot outside, I am wearing a jacket with a hood.","Aunque hace calor afuera, estoy usando una chaqueta con capucha.","Obwohl es draußen heiß ist, trage ich eine Jacke mit Kapuze.",,,,,,"embora esteja calor lá fora, estou usando uma jaqueta com capuz"
trog-item-90,"trog, Sentence Understanding","He likes swimming. However, he chose to play soccer with his friends.","Le gusta nadar. Sin embargo, elijió jugar fútbol con sus amigos.","Er schwimmt gerne, aber er hat sich entschieden, mit seinen Freunden Fußball zu spielen.",,,,,,"ele gosta de nadar. No entanto, ele escolheu jogar futebol com seus amigos"
trog-item-91,"trog, Sentence Understanding","Despite the noise in the classroom, she focused on reading her notebook.","A pesar del ruido en el salón, ella se concentró en leer su cuaderno.",Trotz des Lärms im Klassenzimmer konzentrierte sie sich auf das Lesen ihres Heftes.,,,,,,"apesar do barulho na sala de aula, ela se concentrou em ler o caderno"
trog-item-92,"trog, Sentence Understanding",He wore the clown's hat despite its large size.,Él usó el sombrero de payaso a pesar de su gran tamaño.,"Er trug die Mütze vom Clown, obwohl sie so groß ist.",,,,,,ele usou o chapéu do palhaço apesar do seu grande tamanho
trog-item-93,"trog, Sentence Understanding",The duck following the turtle is walking across the bridge.,El pato que sigue a la tortuga está caminando por el puente.,"Die Ente, die der Schildkröte folgt, geht über die Brücke.",,,,,,o pato que segue a tartaruga está caminhando pela ponte
trog-item-94,"trog, Sentence Understanding",Bumping the table with my foot caused a book to fall.,Por golpear la mesa con mi pie se cayó un libro,Beim Anstoßen des Tisches mit meinem Fuß ist ein Buch heruntergefallen.,,,,,,bater na mesa com o pé fez um livro cair
trog-item-95,"trog, Sentence Understanding",The person chases the dog that is big.,La persona persigue al perro que es grande.,"Die Person jagt den Hund, der groß ist.",,,,,,a pessoa persegue o cachorro que é grande
trog-item-96,"trog, Sentence Understanding",The girl wearing a backpack was shown a flower by her friend.,A la niña que llevaba el morral su amiga le mostró una flor.,"Dem Mädchen, das einen Rucksack trägt, wurde von seiner Freundin eine Blume gezeigt.",,,,,,a menina que usava mochila foi mostrada uma flor por sua amiga
trog-item-97,"trog, Sentence Understanding","The kids cleaned the room, but forgot to put away the train.","Los niños limpiaron la habitación, pero olvidaron guardar el tren.","Die Kinder haben das Zimmer aufgeräumt, aber haben vergessen, die Eisenbahn wegzustellen.",,,,,,"as crianças limparam o quarto, mas esqueceram de guardar o trem"
