identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,isHidden
number-identification-7,math,Choose the 22.,Escoge el 22.,Wähle die  Zweiundzwanzig.,Choose the 22.,Choose the 22.,Wähle die  Zweiundzwanzig.,Choose the 22.,Choose the 22.,
number-identification-8,math,Choose the 45.,Escoge el 45.,Wähle die  Fünfundvierzig.,Choose the 45.,Choose the 45.,Wähle die  Fünfundvierzig.,Choose the 45.,Choose the 45.,
number-identification-9,math,Choose the 39.,Escoge el 39.,Wähle die  Neununddreißig.,Choose the 39.,Choose the 39.,Wähle die  Neununddreißig.,Choose the 39.,Choose the 39.,
number-identification-10,math,Choose the 23.,Escoge el 23.,Wähle die  Dreiundzwanzig.,Choose the 23.,Choose the 23.,Wähle die  Dreiundzwanzig.,Choose the 23.,Choose the 23.,
number-identification-11,math,Choose the 48.,Escoge el 48.,Wähle die  Achtundvierzig.,Choose the 48.,Choose the 48.,Wähle die  Achtundvierzig.,Choose the 48.,Choose the 48.,
number-identification-12,math,Choose the 91.,Escoge el 91.,Wähle die  91.,Choose the 91.,Choose the 91.,Wähle die  91.,Choose the 91.,Choose the 91.,
number-identification-13,math,Choose the 33.,Escoge el 33.,Wähle die  Dreiunddreißig.,Choose the 33.,Choose the 33.,Wähle die  Dreiunddreißig.,Choose the 33.,Choose the 33.,
number-identification-14,math,Choose the 74.,Escoge el 74.,Wähle die  Vierundsiebzig.,Choose the 74.,Choose the 74.,Wähle die  Vierundsiebzig.,Choose the 74.,Choose the 74.,
number-identification-15,math,Choose the 87.,Escoge el 87.,Wähle die  Siebenundachzig.,Choose the 87.,Choose the 87.,Wähle die  Siebenundachzig.,Choose the 87.,Choose the 87.,
number-identification-16,math,Choose the 65.,Escoge el 65.,Wähle die  65.,Choose the 65.,Choose the 65.,Wähle die  65.,Choose the 65.,Choose the 65.,
number-identification-17,math,Choose the 108.,Escoge el 108.,Wähle die  Einhundertacht.,Choose the 108.,Choose the 108.,Wähle die  Einhundertacht.,Choose the 108.,Choose the 108.,
number-identification-18,math,Choose the 245.,"Escoge el,, doscientos, cuarenta y cinco.",Wähle die  Zweihundertfünfundvierzig.,Choose the 245.,Choose the 245.,Wähle die  Zweihundertfünfundvierzig.,Choose the 245.,Choose the 245.,
number-identification-19,math,Choose the 587.,Escoge el quinientos ochenta y siete.,Wähle die  Fünfhundertsiebenundachzig.,Choose the 587.,Choose the 587.,Wähle die  Fünfhundertsiebenundachzig.,Choose the 587.,Choose the 587.,
number-identification-20,math,Choose the 731.,"Escoge, el,, setecientos, treinta y uno.",Wähle die  Siebenhunderteinunddreißig.,Choose the 731.,Choose the 731.,Wähle die  Siebenhunderteinunddreißig.,Choose the 731.,Choose the 731.,
number-identification-21,math,Choose the 989.," Escoge,, el,, novecientos ochenta y nueve",Wähle die  Neunhundertneunundachzig.,Choose the 989.,Choose the 989.,Wähle die  Neunhundertneunundachzig.,Choose the 989.,Choose the 989.,
number-identification-22,math,Choose the 6.,Escoge el 6.,Wähle die sechs.,Choose the 6.,Choose the 6.,Wähle die sechs.,Choose the 6.,Choose the 6.,
number-identification-23,math,Choose the 14.,Escoge el 14.,Wähle die vierzehn.,Choose the 14.,Choose the 14.,Wähle die vierzehn.,Choose the 14.,Choose the 14.,
number-identification-24,math,Choose the 18.,Escoge el 18.,Wähle die achtzehn.,Choose the 18.,Choose the 18.,Wähle die achtzehn.,Choose the 18.,Choose the 18.,
number-identification-25,math,Choose the 26.,Escoge el 26.,Wähle die sechsundzwanzig.,Choose the 26.,Choose the 26.,Wähle die sechsundzwanzig.,Choose the 26.,Choose the 26.,
number-identification-26,math,Choose the 35.,Escoge el 35.,Wähle die fünfunddreißig.,Choose the 35.,Choose the 35.,Wähle die fünfunddreißig.,Choose the 35.,Choose the 35.,
number-identification-27,math,Choose the 41.,Escoge el 41.,Wähle die einundvierzig.,Choose the 41.,Choose the 41.,Wähle die einundvierzig.,Choose the 41.,Choose the 41.,
number-identification-28,math,Choose the 47.,Escoge el 47.,Wähle die siebenundvierzig.,Choose the 47.,Choose the 47.,Wähle die siebenundvierzig.,Choose the 47.,Choose the 47.,
number-identification-29,math,Choose the 50.,Escoge el 50.,Wähle die fünfzig.,Choose the 50.,Choose the 50.,Wähle die fünfzig.,Choose the 50.,Choose the 50.,
number-identification-30,math,Choose the 55.,Escoge el 55.,Wähle die fünfundfünfzig.,Choose the 55.,Choose the 55.,Wähle die fünfundfünfzig.,Choose the 55.,Choose the 55.,
number-identification-31,math,Choose the 66.,"Escoge, el, 66.",Wähle die sechsundsechzig.,Choose the 66.,Choose the 66.,Wähle die sechsundsechzig.,Choose the 66.,Choose the 66.,
number-identification-32,math,Choose the 67.,Escoge el 67.,Wähle die siebenundsechzig.,Choose the 67.,Choose the 67.,Wähle die siebenundsechzig.,Choose the 67.,Choose the 67.,
number-identification-33,math,Choose the 88.,Escoge el 88.,Wähle die achtundachtzig.,Choose the 88.,Choose the 88.,Wähle die achtundachtzig.,Choose the 88.,Choose the 88.,
number-identification-34,math,Choose the 101.,Escoge el 101.,Wähle die einhunderteins.,Choose the 101.,Choose the 101.,Wähle die einhunderteins.,Choose the 101.,Choose the 101.,
number-identification-35,math,Choose the 426.,Escoge el 426.,Wähle die vierhundertsechsundzwanzig.,Choose the 426.,Choose the 426.,Wähle die vierhundertsechsundzwanzig.,Choose the 426.,Choose the 426.,
number-identification-36,math,Choose the 131.," Escoge,, el ciento, treinta y uno
",Wähle die einhunderteinunddreißig.,Choose the 131.,Choose the 131.,Wähle die einhunderteinunddreißig.,Choose the 131.,Choose the 131.,
number-identification-37,math,Choose the 256.,Escoge el 256.,Wähle die zweihundertsechsundfünfzig.,Choose the 256.,Choose the 256.,Wähle die zweihundertsechsundfünfzig.,Choose the 256.,Choose the 256.,
number-identification-38,math,Choose the 349.,Escoge el 349.,Wähle die dreihundertneunundvierzig.,Choose the 349.,Choose the 349.,Wähle die dreihundertneunundvierzig.,Choose the 349.,Choose the 349.,
number-identification-39,math,Choose the 543.,Escoge el 543.,Wähle die fünfhundertdreiundvierzig.,Choose the 543.,Choose the 543.,Wähle die fünfhundertdreiundvierzig.,Choose the 543.,Choose the 543.,
number-identification-40,math,Choose the 617.,Escoge el 617.,Wähle die sechshundertsiebzehn.,Choose the 617.,Choose the 617.,Wähle die sechshundertsiebzehn.,Choose the 617.,Choose the 617.,
number-identification-41,math,Choose the 877.,Escoge el 877. ,Wähle die achthundertsiebenundsiebzig.,Choose the 877.,Choose the 877.,Wähle die achthundertsiebenundsiebzig.,Choose the 877.,Choose the 877.,
trog-instruct1,"trog, Sentence Understanding","Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú eliges la imagen que va con las palabras que yo diga. ¡Empecemos!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich werde ein paar Wörter sagen, und du wählst das Bild aus, das zu dem passt, was ich sage. Los geht's!","Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich werde ein paar Wörter sagen, und du wählst das Bild aus, das zu dem passt, was ich sage. Los geht's!","Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!",
trog-prompt1,"trog, Sentence Understanding",Choose the picture of the...,Escoge el dibujo del...,Berühre das Bild mit dem/der/den...,Choose the picture of the...,Choose the picture of the...,Berühre das Bild mit dem/der/den...,Choose the picture of the...,Choose the picture of the...,
trog-prompt2,"trog, Sentence Understanding",Choose the picture of...,Escoge el dibujo de...,Berühre das Bild mit...,Choose the picture of...,Choose the picture of...,Berühre das Bild mit...,Choose the picture of...,Choose the picture of...,
trog-prompt3,"trog, Sentence Understanding",Choose the picture that shows...,Escoge el dibujo que muestra...,Berühre das Bild was folgendes zeigt:,Choose the picture that shows...,Choose the picture that shows...,Berühre das Bild was folgendes zeigt:,Choose the picture that shows...,Choose the picture that shows...,
trog-item-1,"trog, Sentence Understanding",Choose the picture of the shoe.,Escoge el dibujo del zapato.,Wähle das Bild mit dem Schuh.,Choose the picture of the shoe.,Choose the picture of the shoe.,Wähle das Bild mit dem Schuh.,Choose the picture of the shoe.,Choose the picture of the shoe.,
